id,title,author,year,isbn,status
69,Storm Moon Atlas,Tim van Rossum,2021,9786048175496,AVAILABLE
70,Machine Crystal Glass Night,John Lovelace,2021,9789317461200,OUT
71,Labyrinth Crystal Crystal,Tim Jackson,1967,9785869261796,AVAILABLE
72,Empire Whisper Machine,Linus Allen,2006,9785158506431,AVAILABLE
73,Storm Glass Dawn,Hedy Lovelace,1956,9783293183933,AVAILABLE
74,Atlas Moon Circuit,Hedy Lovelace,1985,9782284210205,AVAILABLE
75,Dust Garden,Ada Dijkstra,1983,9786811775891,OUT
76,Echo Night Code,Alan Shannon,1988,9780076617711,AVAILABLE
77,Code Moon Storm,Barbara Hamilton,2024,9785698478961,AVAILABLE
78,Crystal Phoenix Fire Fire,Mary Torvalds,2005,9783657661565,AVAILABLE
79,River Machine Moon Glass,John Hopper,1961,9781615280988,AVAILABLE
80,Glass Crystal Cipher,Ken Gosling,1956,9789451983273,AVAILABLE
81,Machine Phoenix,Mary Thompson,1964,9789368998094,AVAILABLE
82,Iron River,Katherine Ritchie,1994,9782961201836,OUT
83,Archive Garden Iron,Ken Johnson,1991,9789910229014,AVAILABLE
84,Glass Cipher Labyrinth,Hedy Allen,2003,9788156149784,OUT
85,Night Signal,Hedy Turing,1950,9783244510762,OUT
86,Signal Voyage,Tim Shannon,2021,9785160607159,AVAILABLE
87,Dust Signal Whisper,James Johnson,1964,9785297516136,AVAILABLE
88,Signal Echo Storm Signal,Katherine Ritchie,1978,9782181883552,OUT
89,Crystal Moon,Margaret Torvalds,1972,9781277997995,AVAILABLE
90,Garden Moon Archive Storm,John Allen,1988,9789058147700,AVAILABLE
91,Harbor Star Storm,Grace Lamarr,2014,9789807935978,AVAILABLE
92,Empire Archive,Donald Ritchie,1960,9782037788925,AVAILABLE
93,Halo Star Signal,James Ritchie,1956,9785151864492,AVAILABLE
94,Storm Dust Glass,Barbara Thompson,1989,9786291486528,AVAILABLE
95,Fire Glass,James Shannon,1996,9784235733221,OUT
96,Phoenix Circuit Crystal,Claude Jackson,2017,9785929622292,OUT
97,Archive Empire Cipher Machine,Tim Allen,1986,9787383473597,AVAILABLE
98,Atlas Star Atlas,Guido Shannon,2017,9782392407581,AVAILABLE
99,Phoenix Echo Phoenix Crystal,Katherine Hopper,1970,9788261375060,OUT
100,Echo Machine Night,Guido Hopper,1997,9785152204727,OUT
101,Code Shadow Dream,Grace Lovelace,1982,9782898614341,OUT
102,Night Cipher,Hedy Allen,1958,9787980893246,OUT
103,Code Machine,Tim Nakamoto,2003,9781851888880,OUT
104,Phoenix Labyrinth Empire,Guido Thompson,1982,9785153195205,AVAILABLE
105,Garden Harbor Fire Iron,Frances Backus,1973,9781704303054,AVAILABLE
106,Signal Harbor Voyage Labyrinth,Margaret Turing,1974,9780541566765,OUT
107,Labyrinth Whisper,John Thompson,2016,9781616928451,OUT
108,Garden Glass,Katherine Johnson,2007,9786275705964,AVAILABLE
109,Circuit Empire Storm Glass,Guido Thompson,2015,9782029702135,AVAILABLE
110,Signal Dust Empire,Hedy Liskov,2007,9785719285654,AVAILABLE
111,Crystal Shadow,Edsger Backus,2016,9788144739473,AVAILABLE
112,Moon Phoenix,Grace Allen,1972,9787155188442,AVAILABLE
113,Whisper Halo Whisper Fire,Edsger Thompson,2015,9783237058957,OUT
114,Moon Code Dream Storm,Grace Johnson,2000,9787866912517,AVAILABLE
115,Glass Echo Machine,Barbara Jackson,1973,9782680182422,AVAILABLE
116,Halo Whisper Night,Ken Shannon,1986,9784384249818,AVAILABLE
117,Iron Dust Dust Moon,Edsger Lamarr,1993,9789001094396,AVAILABLE
118,Fire Shadow Labyrinth Dream,Mary Johnson,1988,9786471027677,AVAILABLE
119,Garden Code,Barbara Ritchie,1990,9785625881537,AVAILABLE
120,River Archive,Tim Liskov,1962,9786963259532,OUT
121,Echo Archive Labyrinth,Katherine Backus,1952,9786873395004,OUT
122,Code Dream Harbor,John Johnson,2018,9781624565060,OUT
123,Voyage Dawn Machine Voyage,Katherine Hopper,1999,9788499121655,AVAILABLE
124,Machine Atlas Moon Dawn,Hedy Shannon,2001,9780025787298,AVAILABLE
125,Garden Halo,Hedy Ritchie,1970,9789495888794,AVAILABLE
126,Harbor Shadow Machine,Dennis Knuth,2003,9780974993097,AVAILABLE
127,Echo Fire,Hedy van Rossum,1968,9783091307562,AVAILABLE
128,Whisper Dawn Cipher,Claude Lamarr,2010,9780283857865,AVAILABLE
129,Archive Halo,Mary Ritchie,2019,9784973348434,AVAILABLE
130,Whisper Dawn Whisper,John Ritchie,2011,9784419866524,OUT
131,Star Whisper,Grace Thompson,2006,9787338484219,AVAILABLE
132,Dust Night Night Empire,Claude Berners-Lee,1979,9786571208267,OUT
133,Fire Dawn Atlas,Katherine Ritchie,1986,9781938026206,AVAILABLE
134,Iron Halo Quantum,Katherine Turing,1951,9789154788728,OUT
135,River Dawn Circuit,Donald Ritchie,1970,9784205493296,AVAILABLE
136,Echo Garden Storm,Guido Knuth,1973,9787530463745,AVAILABLE
137,Dust Quantum Dust,Ada Hamilton,1996,9780174268414,AVAILABLE
138,Code Night Night,Barbara Backus,1969,9789568783391,AVAILABLE
139,Archive Echo Whisper Machine,Grace Nakamoto,1964,9788839822587,OUT
140,Glass Dawn,Satoshi Backus,1961,9787072867908,AVAILABLE
141,Glass Circuit Star,Ada van Rossum,1982,9783910651801,AVAILABLE
142,Empire Star Cipher,Edsger Liskov,2003,9786766182512,AVAILABLE
143,Signal Echo Moon Quantum,Tim Lovelace,1952,9787868633752,AVAILABLE
144,Dawn Halo Dream,Donald Turing,2003,9780331190790,AVAILABLE
145,Quantum Empire,Guido Allen,1979,9780284395995,AVAILABLE
146,Star Dream,Barbara Shannon,1978,9784089268705,AVAILABLE
147,Glass Signal Circuit Echo,Dennis Gosling,2002,9786287334270,OUT
148,Cipher Cipher Voyage Echo,Barbara van Rossum,1981,9785175183046,OUT
149,Code Code Empire Phoenix,Grace Torvalds,2021,9783540331739,OUT
150,Dawn Signal Halo Night,Mary Ritchie,1986,9788544587717,AVAILABLE
151,Halo Dawn Machine,Dennis Gosling,1955,9783204899642,AVAILABLE
152,Garden Night,Guido Nakamoto,1981,9785477725228,AVAILABLE
153,Iron Halo Dream,Mary Turing,2017,9781006231203,OUT
154,Archive Machine Empire Code,Hedy Backus,2012,9788860084840,OUT
155,Harbor Whisper Glass Cipher,Edsger Knuth,1962,9783398454615,AVAILABLE
156,Archive Dust Night,Tim Johnson,1960,9780166687002,AVAILABLE
157,Labyrinth Phoenix,James Ritchie,2022,9781803397401,AVAILABLE
158,Halo River Dream Voyage,Satoshi Turing,1972,9785039261429,AVAILABLE
159,Dust Harbor,Guido Jackson,1992,9782185016315,AVAILABLE
160,Atlas Code Code Signal,Dennis Lovelace,1984,9787735866296,AVAILABLE
161,Atlas Code,Katherine Berners-Lee,1959,9782626551104,OUT
162,Machine Atlas River,Donald Liskov,1961,9787888610158,OUT
163,Code Code,Dennis van Rossum,1951,9786183982622,OUT
164,Star River Labyrinth,Barbara Hopper,1971,9786471543799,AVAILABLE
165,Archive Crystal,Barbara Johnson,1950,9785965756924,AVAILABLE
166,Code Whisper Dawn,John Ritchie,1972,9785479356465,AVAILABLE
167,Halo Dust,Linus Nakamoto,2019,9788073741672,OUT
168,Star Night River Glass,Barbara Gosling,1998,9789796886805,OUT
169,Dream Circuit Voyage Code,Grace Knuth,1981,9785290965610,AVAILABLE
170,River Night,Claude Shannon,2021,9789375679825,AVAILABLE
171,Labyrinth Crystal,Katherine Gosling,1960,9782545738757,OUT
172,Archive Quantum,Frances Ritchie,1958,9781051238282,OUT
173,Voyage Cipher Archive,Tim van Rossum,1973,9786609379660,OUT
174,Dawn Dawn River Atlas,Grace Nakamoto,1963,9788255371478,AVAILABLE
175,Garden Code Signal Code,Guido Nakamoto,1964,9787924991251,OUT
176,Star Crystal,Edsger Thompson,1968,9786929662782,AVAILABLE
177,Iron Labyrinth Star Moon,Edsger Ritchie,2007,9785072368876,AVAILABLE
178,Labyrinth Cipher Whisper Harbor,Frances Backus,1971,9780340438427,OUT
179,Quantum Atlas Atlas Labyrinth,Mary Shannon,1964,9784858078361,AVAILABLE
180,Harbor Fire Atlas Night,Katherine Turing,2007,9781713395962,OUT
181,Moon Circuit Dawn Harbor,Linus Turing,2022,9784982544948,AVAILABLE
182,Harbor Crystal Moon Atlas,James Turing,1985,9782232536729,AVAILABLE
183,River Fire Cipher Signal,Frances Hopper,1961,9784577590175,AVAILABLE
184,Circuit Voyage,Guido Torvalds,2004,9787454589297,AVAILABLE
185,Dream Glass Atlas,Alan Turing,1962,9787012770632,AVAILABLE
186,Star Iron Phoenix Halo,Margaret Hopper,1996,9785206436110,OUT
187,Labyrinth Storm,Barbara Nakamoto,1978,9787005162713,AVAILABLE
188,Storm Quantum Circuit,Donald Knuth,1990,9784262218909,AVAILABLE
189,Iron Archive Machine Quantum,Linus Liskov,2002,9787311219656,AVAILABLE
190,Circuit Moon Night,Margaret Hopper,1981,9789940438983,AVAILABLE
191,Signal Star Fire Empire,Tim Backus,1999,9787918055269,OUT
192,Machine Voyage Glass,Edsger Backus,1959,9781043006848,OUT
193,Cipher Whisper Signal,Grace Jackson,2018,9784141832856,AVAILABLE
194,Fire Atlas Harbor Fire,Grace Johnson,2005,9783031617990,AVAILABLE
195,Glass Quantum Glass,Edsger Knuth,1951,9780275884252,AVAILABLE
196,Atlas Phoenix River Quantum,Donald Lovelace,1992,9784814917785,AVAILABLE
197,Labyrinth Phoenix,Satoshi Dijkstra,1997,9781913800030,OUT
198,Machine Signal Halo,Barbara Dijkstra,1954,9786353654195,AVAILABLE
199,Echo Glass,Alan Dijkstra,1978,9780617445187,AVAILABLE
200,Machine Dawn,Katherine Nakamoto,1988,9783759738320,AVAILABLE
201,Shadow Night Voyage,Ken Lovelace,1992,9786413836702,OUT
202,River Storm Empire Halo,Tim Shannon,2002,9785719182619,AVAILABLE
203,Empire Cipher Glass Moon,Tim Johnson,1983,9786557431329,AVAILABLE
204,Moon Crystal,Edsger Allen,2009,9781853747411,OUT
205,Circuit Glass,Katherine Lamarr,1955,9785213568044,OUT
206,Shadow Signal,Frances Jackson,2020,9787121003236,OUT
207,Glass Fire Fire,Grace Nakamoto,1983,9781013721510,AVAILABLE
208,Empire Iron Halo,Satoshi Gosling,2000,9786625324472,AVAILABLE
209,Code Code,Hedy Berners-Lee,1987,9788701462638,AVAILABLE
210,Fire Circuit,Mary Lovelace,1998,9785787598564,AVAILABLE
211,Shadow Garden,Hedy Berners-Lee,1953,9784078593213,AVAILABLE
212,Night River Voyage Harbor,Alan Berners-Lee,2023,9786522395590,AVAILABLE
213,Whisper Machine Dust Dust,Barbara Nakamoto,1974,9787842701039,AVAILABLE
214,Shadow Echo,John Lovelace,1992,9783252500292,AVAILABLE
215,Phoenix Echo,Ken Hopper,1997,9786915452267,AVAILABLE
216,Garden Iron Whisper Voyage,Hedy Thompson,1978,9782644220969,AVAILABLE
217,Iron Code,Dennis Lamarr,1978,9781725135521,AVAILABLE
218,Glass Fire Quantum Dream,Dennis Allen,1951,9783154100676,OUT
219,Dream Cipher,John van Rossum,1994,9781793271040,AVAILABLE
220,River Crystal Storm,Dennis Dijkstra,1998,9781815997062,OUT
221,Dream Cipher Iron Empire,Donald Ritchie,1976,9786884443106,AVAILABLE
222,Voyage Harbor Labyrinth Moon,Alan Thompson,1950,9784973103241,AVAILABLE
223,Phoenix Crystal Star,Guido Backus,2012,9784186256527,AVAILABLE
224,River Archive,Frances Hamilton,1978,9789021158693,AVAILABLE
225,Empire Harbor Signal Harbor,Claude Gosling,2018,9787937416089,AVAILABLE
226,Circuit Dust Glass Code,Barbara Knuth,2007,9782332061632,OUT
227,River Garden Halo Quantum,Grace Hopper,1999,9788548709986,AVAILABLE
228,Cipher Moon,Barbara Nakamoto,2024,9781191485646,AVAILABLE
229,Labyrinth Dust Code Labyrinth,Alan Dijkstra,1985,9789960653074,AVAILABLE
230,Shadow Garden Harbor,Katherine Johnson,1985,9781324754691,AVAILABLE
231,Archive Dawn,James Backus,2016,9780821486289,AVAILABLE
232,Iron Dawn,Linus Turing,1981,9780534578610,OUT
233,Machine Labyrinth,Hedy Allen,1972,9787985524140,AVAILABLE
234,Empire Iron Phoenix,Satoshi Torvalds,1978,9783468007229,AVAILABLE
235,Night River,Hedy Johnson,1985,9786574374896,AVAILABLE
236,Crystal Shadow Echo Glass,Ken Jackson,1986,9781715454443,OUT
237,Echo Atlas,Tim Turing,2001,9782074466609,AVAILABLE
238,Dust Harbor Dawn Garden,Tim Jackson,2010,9785842824172,AVAILABLE
239,River Quantum Circuit Voyage,Edsger Ritchie,1961,9783465549471,OUT
240,Empire Phoenix Fire,Satoshi Nakamoto,1959,9783816846022,AVAILABLE
241,Garden Cipher,Satoshi Allen,1968,9782175250074,OUT
242,Atlas Atlas,Edsger Nakamoto,1970,9781296666760,AVAILABLE
243,Voyage Dawn,Ken Lovelace,1991,9788300335421,AVAILABLE
244,Echo Dust Star,Edsger Hopper,1955,9784789856257,OUT
245,Atlas Dawn Iron,Guido Lovelace,1979,9782309821506,OUT
246,River Atlas Voyage Code,Alan Lamarr,1956,9780016761847,AVAILABLE
247,Moon Dawn Whisper Glass,Ada Johnson,2003,9788499261891,AVAILABLE
248,Crystal Circuit Crystal,John Torvalds,1975,9788356420873,AVAILABLE
249,Halo Labyrinth Garden Night,Ada Lovelace,1961,9789721811437,AVAILABLE
250,River Archive Empire,Donald Dijkstra,1955,9785561100225,AVAILABLE
251,Dream Archive Code,Margaret Hopper,1997,9782166746762,AVAILABLE
252,Moon Whisper,Alan Dijkstra,1963,9789797296590,AVAILABLE
253,Dream Harbor Quantum Dream,Barbara Backus,2012,9786701450899,OUT
254,Glass Phoenix,Dennis Shannon,2016,9789163756289,AVAILABLE
255,Shadow Fire,Edsger Shannon,2010,9782175354083,AVAILABLE
256,Fire Signal Signal Harbor,Tim Hopper,2008,9789717751701,AVAILABLE
257,Cipher Empire Voyage,Mary Lovelace,1961,9789488375503,AVAILABLE
258,Garden Voyage Atlas,Hedy Lamarr,2010,9785711305548,AVAILABLE
259,Machine Whisper Crystal Empire,Edsger Backus,1967,9786149331637,AVAILABLE
260,Whisper Garden,Donald Gosling,1955,9789177982708,AVAILABLE
261,Empire Voyage Halo Cipher,Satoshi Backus,2015,9782922169958,AVAILABLE
262,Cipher Code Halo,Tim Hamilton,2000,9784722698485,AVAILABLE
263,Quantum Halo Voyage Fire,Linus Torvalds,1976,9784522885158,AVAILABLE
264,Dust Dust Glass,James Jackson,1986,9786081062003,AVAILABLE
265,Atlas Circuit Iron,Katherine Hamilton,1968,9784380571983,AVAILABLE
266,Fire Voyage Signal Night,Claude Johnson,1956,9786658004397,AVAILABLE
267,Halo Fire,Ken Nakamoto,2019,9783347212281,AVAILABLE
268,Empire Cipher River,Mary Hamilton,1966,9784057202590,OUT
269,Code Harbor Glass Star,John Nakamoto,2020,9785832818268,AVAILABLE
270,Signal Storm Machine Night,Linus Ritchie,1992,9783987801573,AVAILABLE
271,Code Halo Code Night,Alan Ritchie,1998,9781648408588,AVAILABLE
272,Labyrinth Empire Star,Linus Ritchie,2015,9781288013361,OUT
273,Voyage Harbor,James Hopper,1969,9785011024819,OUT
274,Halo River,James van Rossum,2007,9786506180919,AVAILABLE
275,Whisper Phoenix,Grace Thompson,2014,9784914766072,OUT
276,Night Moon Quantum Signal,Mary Johnson,1968,9785088210099,OUT
277,Voyage Voyage Storm,Katherine Torvalds,1994,9788222394312,OUT
278,Circuit Dust Phoenix Empire,Mary Allen,2020,9781413975523,OUT
279,Star Code,Grace Torvalds,1990,9785949299556,AVAILABLE
280,Shadow Garden,Tim Berners-Lee,2005,9785257775478,OUT
281,Iron Fire,Hedy Hopper,1985,9782834110809,AVAILABLE
282,Signal Atlas Dust Dawn,Alan Jackson,1983,9788725639427,AVAILABLE
283,Echo Storm Signal Machine,Claude Lovelace,1980,9789282722992,AVAILABLE
284,Quantum Labyrinth Machine Empire,Tim Backus,1979,9785303856770,OUT
285,Fire Garden,Donald Shannon,1985,9784989266591,AVAILABLE
286,River Signal Halo Night,Claude van Rossum,1995,9785779082723,AVAILABLE
287,Echo Fire,Margaret Torvalds,1969,9785913651777,OUT
288,Dust Iron,James Lovelace,1981,9789922809202,OUT
289,Halo Iron Echo,Guido Lamarr,2022,9784137977236,AVAILABLE
290,Moon Circuit Dust Harbor,Edsger Lamarr,2015,9785799136621,OUT
291,Dawn Echo,Claude Gosling,1969,9782799088117,AVAILABLE
292,Moon Dream Code Voyage,Ada Gosling,2016,9780863765991,AVAILABLE
293,Moon River Labyrinth,Tim Hopper,1986,9788643009818,AVAILABLE
294,Signal Fire,Linus Ritchie,2002,9782694486959,AVAILABLE
295,Glass Signal Atlas,Linus Gosling,2020,9787258874495,AVAILABLE
296,Signal Quantum Moon Phoenix,Donald Berners-Lee,2007,9782138658902,AVAILABLE
297,Fire Shadow Circuit,Grace Liskov,2010,9786114351906,AVAILABLE
298,Code Fire Echo,Katherine Lamarr,1957,9782770384309,AVAILABLE
299,Echo Whisper Night Code,Edsger Turing,1996,9780214656693,OUT
300,Shadow Quantum Whisper Storm,Grace Jackson,1986,9788955439376,AVAILABLE
301,Shadow River Iron Cipher,Claude Knuth,2021,9784518489476,OUT
302,Labyrinth Atlas Night Atlas,Dennis Allen,2008,9780714163356,AVAILABLE
303,Echo Voyage Shadow,Margaret Berners-Lee,1986,9785182755394,OUT
304,Quantum Glass,Linus Backus,1975,9783433339521,OUT
305,Halo Storm,John Lamarr,1950,9788075957947,AVAILABLE
306,Atlas Halo,Claude Hamilton,2000,9789208678085,OUT
307,Phoenix Glass Atlas,Edsger Allen,1965,9787500369155,AVAILABLE
308,Phoenix River Iron Voyage,Margaret Berners-Lee,1984,9789552763655,AVAILABLE
309,River Archive Iron,Satoshi Liskov,2023,9781438663227,AVAILABLE
310,Iron Cipher,John Liskov,2016,9785744890612,AVAILABLE
311,Dawn Harbor,Margaret Backus,1962,9785455884506,AVAILABLE
312,Machine Phoenix,Hedy Torvalds,2023,9788245587716,AVAILABLE
313,Star Archive Fire Moon,Edsger Ritchie,2003,9789611253554,AVAILABLE
314,River Code Fire Signal,Margaret Allen,1996,9788762202341,AVAILABLE
315,Iron Signal,Donald Knuth,1958,9787800681149,AVAILABLE
316,Storm Fire,Guido Johnson,1979,9784722820055,OUT
317,Archive Phoenix Voyage,Margaret Jackson,2006,9788299796884,OUT
318,Labyrinth Voyage Night,Grace Allen,1989,9784240082547,AVAILABLE
319,Shadow Whisper Halo Labyrinth,John Johnson,1951,9784930853686,AVAILABLE
320,Night Iron Whisper,Guido van Rossum,1978,9786389448463,OUT
321,Iron Moon,Katherine Knuth,2008,9784973502080,AVAILABLE
322,Crystal Star,Margaret Liskov,2006,9783120735647,AVAILABLE
323,Archive Whisper Circuit,Alan Ritchie,1960,9782046187234,AVAILABLE
324,Harbor Shadow Crystal,Tim van Rossum,2006,9780371837645,OUT
325,Fire Quantum,Alan Jackson,2016,9787435031365,OUT
326,Iron Circuit,Margaret Nakamoto,1965,9783009792513,AVAILABLE
327,Labyrinth Storm,Hedy Ritchie,1957,9782812735857,OUT
328,Dawn Shadow Whisper Signal,Ken Liskov,1982,9787784873928,AVAILABLE
329,Garden Quantum Archive,Margaret Lamarr,2020,9788274485708,OUT
330,Quantum Iron Dream,Ada Lamarr,1996,9783518638782,AVAILABLE
331,Star Garden Cipher Fire,Dennis Knuth,1962,9781022031731,AVAILABLE
332,Dust Fire,Guido Backus,2017,9789405391037,AVAILABLE
333,Archive Circuit,Alan Thompson,2021,9786509480141,AVAILABLE
334,Echo Crystal,Donald Berners-Lee,2018,9783839288619,AVAILABLE
335,Glass Archive Whisper,James Knuth,1971,9788685289755,AVAILABLE
336,Garden Phoenix Machine Cipher,James Ritchie,1980,9783684577600,AVAILABLE
337,Code Shadow Echo,Barbara Johnson,1950,9783350488899,OUT
338,Crystal Empire,Frances Thompson,1969,9785933441969,OUT
339,Quantum Storm,Dennis Backus,1972,9789194096105,AVAILABLE
340,Dream Harbor Cipher,James Knuth,1979,9789060480589,AVAILABLE
341,Garden Echo,Tim Liskov,1956,9786799813646,AVAILABLE
342,Moon Garden,Grace Backus,2023,9788641686227,AVAILABLE
343,Dawn Labyrinth Signal Fire,Satoshi Torvalds,2021,9788331465911,AVAILABLE
344,Cipher Cipher Machine Machine,Linus Ritchie,1994,9780425979270,AVAILABLE
345,Dawn Glass,Ken Liskov,1960,9780392405147,OUT
346,Shadow Garden Dawn,Mary Torvalds,1976,9784879206980,AVAILABLE
347,Iron Empire Star,Linus Lamarr,1984,9780164510463,OUT
348,Echo Whisper Crystal,Dennis Backus,2018,9783878003845,OUT
349,Signal Quantum Iron,Ada Thompson,1995,9784384046084,AVAILABLE
350,Moon Garden,Guido Liskov,1961,9788936392649,AVAILABLE
351,Archive Voyage Moon,Linus Liskov,2024,9783248262925,AVAILABLE
352,Voyage Voyage,Donald Dijkstra,1990,9782056647423,AVAILABLE
353,Moon Iron,Ada Lamarr,1984,9789393305172,AVAILABLE
354,Phoenix Code Labyrinth Whisper,Ken Dijkstra,1999,9782233060463,AVAILABLE
355,Glass Dawn Atlas Dawn,Grace Dijkstra,2006,9787573660965,AVAILABLE
356,Code Quantum Dust,Hedy Jackson,2017,9780817703886,AVAILABLE
357,Empire Voyage Signal Echo,Alan Torvalds,1987,9784472649082,AVAILABLE
358,Harbor Fire Archive,Grace Shannon,1964,9789826657027,OUT
359,Dream Whisper Dream Dawn,Frances Hopper,1982,9782111751868,OUT
360,Iron Signal Voyage Signal,Alan Dijkstra,1992,9782222064474,AVAILABLE
361,Iron Crystal Dream Moon,Linus Lovelace,1982,9787780973397,OUT
362,Cipher Archive Storm,Hedy Lamarr,1950,9788498302205,OUT
363,Moon Phoenix,Alan Nakamoto,1988,9781016224999,OUT
364,Iron Archive Quantum Dust,Ken Turing,1961,9785561681472,AVAILABLE
365,Whisper Phoenix,Margaret Ritchie,2017,9783390198179,AVAILABLE
366,Star Cipher Code Phoenix,Dennis Hamilton,2017,9789529978772,AVAILABLE
367,Night Whisper Star Dawn,Ada Knuth,1953,9781396605583,AVAILABLE
368,Fire Dawn,Katherine Hamilton,1958,9788850155699,OUT
369,Harbor Iron,Linus Ritchie,1993,9787702727857,AVAILABLE
370,Halo Quantum Empire,Claude Johnson,2022,9785880395512,AVAILABLE
371,Harbor Shadow Garden,Guido Jackson,1971,9786291450461,AVAILABLE
372,Dream Night Machine,Frances Johnson,1977,9782150317807,AVAILABLE
