id,book_id,member_id,loan_date,return_date,status
274,1443,415,2024-09-07,2024-09-15,RETURNED
275,3678,1048,2024-10-04,2024-10-07,RETURNED
276,1825,76,2024-08-07,2024-08-11,RETURNED
277,1163,1297,2024-04-14,2024-05-02,RETURNED
278,3360,1136,2024-10-15,,OUT
279,1837,412,2024-10-14,,OUT
280,3510,1521,2024-12-28,2024-12-31,RETURNED
281,2918,1356,2024-06-08,2024-06-26,RETURNED
282,1240,909,2024-05-05,2024-05-17,RETURNED
283,2118,1126,2024-12-08,2024-12-22,RETURNED
284,3258,193,2024-05-22,2024-06-20,RETURNED
285,3900,1709,2024-12-22,,OUT
286,4220,1516,2024-03-24,2024-04-07,RETURNED
287,4138,1927,2024-11-23,,OUT
288,1043,638,2024-11-28,2024-12-18,RETURNED
289,494,1203,2024-05-17,2024-05-21,RETURNED
290,2808,1745,2024-06-25,2024-06-30,RETURNED
291,2766,303,2024-07-10,2024-08-02,RETURNED
292,4103,1053,2024-07-06,2024-07-23,RETURNED
293,1066,1828,2024-02-02,2024-02-24,RETURNED
294,2366,122,2024-03-14,2024-03-31,RETURNED
295,940,513,2024-01-12,2024-02-07,RETURNED
296,2049,1267,2024-01-25,2024-02-09,RETURNED
297,1924,177,2024-04-26,,OUT
298,1263,1374,2024-06-20,2024-07-04,RETURNED
299,4529,8,2024-10-27,2024-11-17,RETURNED
300,2083,1029,2024-11-05,,OUT
301,2790,1180,2024-05-29,2024-06-21,RETURNED
302,2859,1828,2024-08-28,,OUT
303,3782,340,2024-08-29,2024-09-10,RETURNED
304,1736,1650,2024-10-20,2024-11-06,RETURNED
305,3813,537,2024-06-21,2024-07-07,RETURNED
306,1740,1726,2024-08-08,,OUT
307,2058,1231,2024-03-12,2024-03-22,RETURNED
308,37,237,2024-10-13,2024-10-16,RETURNED
309,138,167,2024-12-02,,OUT
310,224,1804,2024-01-25,,OUT
311,679,57,2024-08-15,2024-09-05,RETURNED
312,1998,1901,2024-07-11,2024-07-12,RETURNED
313,1096,9,2024-06-20,,OUT
314,4927,1604,2024-11-19,,OUT
315,4330,1638,2024-03-24,,OUT
316,2910,274,2024-10-13,,OUT
317,1482,1526,2024-01-14,2024-01-19,RETURNED
318,4807,1926,2024-09-13,,OUT
319,1774,687,2024-03-09,2024-03-17,RETURNED
320,2015,1063,2024-09-28,,OUT
321,2762,653,2024-12-11,2024-12-31,RETURNED
322,3977,1151,2024-08-03,2024-08-16,RETURNED
323,1644,1494,2024-01-28,,OUT
324,1888,1710,2024-06-30,2024-07-30,RETURNED
325,4285,1389,2024-07-22,,OUT
326,449,11,2024-01-10,,OUT
327,3225,1912,2024-09-21,,OUT
328,1180,1455,2024-06-04,2024-06-08,RETURNED
329,2780,113,2024-08-21,2024-08-27,RETURNED
330,1741,1517,2024-04-13,,OUT
331,379,1474,2024-02-27,2024-03-12,RETURNED
332,2621,97,2024-10-15,,OUT
333,4265,1801,2024-12-17,,OUT
334,2852,1913,2024-02-20,2024-03-06,RETURNED
335,265,193,2024-12-01,,OUT
336,3964,566,2024-01-01,2024-01-06,RETURNED
337,4872,1898,2024-08-05,2024-08-20,RETURNED
338,3422,545,2024-03-09,,OUT
339,2596,616,2024-09-08,2024-09-11,RETURNED
340,4789,310,2024-03-11,2024-03-26,RETURNED
341,4430,1576,2024-03-18,,OUT
342,1928,1405,2024-03-12,,OUT
343,4278,1592,2024-01-13,2024-01-26,RETURNED
344,788,1395,2024-03-06,2024-03-11,RETURNED
345,3915,2,2024-08-07,2024-09-01,RETURNED
346,1843,1323,2024-07-15,2024-07-19,RETURNED
347,1203,1563,2024-12-24,,OUT
348,1122,443,2024-08-24,2024-09-13,RETURNED
349,1251,1030,2024-02-16,,OUT
350,4281,98,2024-03-20,,OUT
351,4201,404,2024-06-21,2024-07-06,RETURNED
352,2161,932,2024-06-01,2024-06-05,RETURNED
353,1043,1722,2024-05-28,,OUT
354,2019,1089,2024-05-12,,OUT
355,4323,1953,2024-09-20,,OUT
356,2860,1529,2024-12-06,2024-12-09,RETURNED
357,2887,1112,2024-12-01,2024-12-17,RETURNED
358,72,322,2024-05-10,2024-06-02,RETURNED
359,2967,339,2024-09-24,2024-10-21,RETURNED
360,1433,451,2024-05-28,,OUT
361,1873,1450,2024-04-19,,OUT
362,614,154,2024-11-11,2024-11-27,RETURNED
363,271,139,2024-02-06,2024-02-11,RETURNED
364,1949,1836,2024-10-18,2024-11-14,RETURNED
365,698,1461,2024-10-29,2024-11-27,RETURNED
366,865,1423,2024-12-21,2024-12-31,RETURNED
367,3560,313,2024-04-30,2024-05-17,RETURNED
368,3065,709,2024-08-06,2024-08-12,RETURNED
369,1781,1335,2024-11-20,,OUT
370,3569,1020,2024-06-06,2024-06-14,RETURNED
371,276,314,2024-02-23,2024-02-24,RETURNED
372,3571,827,2024-04-30,,OUT
373,3583,926,2024-04-29,2024-05-16,RETURNED
374,2357,1052,2024-05-05,2024-05-22,RETURNED
375,3077,609,2024-12-19,2024-12-28,RETURNED
376,1024,257,2024-07-18,2024-07-19,RETURNED
377,2766,1209,2024-07-29,2024-08-06,RETURNED
378,1351,1075,2024-03-18,,OUT
379,524,984,2024-08-29,2024-09-06,RETURNED
380,3540,1522,2024-05-31,2024-06-21,RETURNED
381,1945,431,2024-06-11,2024-06-20,RETURNED
382,3234,1128,2024-02-14,2024-03-09,RETURNED
383,2812,1691,2024-12-01,2024-12-17,RETURNED
384,2618,1137,2024-09-12,2024-09-14,RETURNED
385,3126,774,2024-09-16,2024-09-29,RETURNED
386,437,1218,2024-07-18,2024-08-05,RETURNED
387,2900,1814,2024-01-14,2024-01-27,RETURNED
388,3435,430,2024-10-01,2024-10-07,RETURNED
389,1853,400,2024-09-30,2024-10-03,RETURNED
390,372,1358,2024-02-06,2024-02-25,RETURNED
391,2851,1098,2024-01-03,2024-01-12,RETURNED
392,4961,1831,2024-07-08,2024-07-22,RETURNED
393,435,447,2024-06-10,2024-06-16,RETURNED
394,1579,1392,2024-10-08,,OUT
395,2779,1592,2024-06-14,2024-07-02,RETURNED
396,708,989,2024-10-29,,OUT
397,3309,396,2024-03-17,2024-03-29,RETURNED
398,959,1897,2024-05-22,2024-06-06,RETURNED
399,2536,932,2024-01-29,2024-02-05,RETURNED
400,3821,746,2024-07-24,2024-08-23,RETURNED
401,882,1270,2024-01-21,2024-01-27,RETURNED
402,2278,535,2024-11-22,2024-12-05,RETURNED
403,1035,1516,2024-06-04,2024-06-07,RETURNED
404,3489,1786,2024-12-31,2024-12-31,RETURNED
405,4722,947,2024-05-21,2024-06-10,RETURNED
406,2929,1601,2024-10-08,,OUT
407,3155,90,2024-05-15,2024-05-22,RETURNED
408,919,1051,2024-03-11,2024-04-07,RETURNED
409,542,1722,2024-02-24,2024-02-28,RETURNED
410,2444,1062,2024-07-09,,OUT
411,3469,215,2024-10-14,2024-11-02,RETURNED
412,3492,510,2024-05-09,2024-06-06,RETURNED
413,2301,48,2024-07-27,2024-08-20,RETURNED
414,4302,1149,2024-04-01,,OUT
415,4839,1628,2024-03-08,2024-03-14,RETURNED
416,4064,1091,2024-04-15,2024-05-06,RETURNED
417,4744,1979,2024-11-12,,OUT
418,4681,359,2024-12-14,,OUT
419,1656,1490,2024-12-12,2024-12-31,RETURNED
420,511,1528,2024-09-19,2024-10-14,RETURNED
421,2842,1749,2024-04-24,,OUT
422,4068,1394,2024-08-26,2024-09-07,RETURNED
423,3051,1355,2024-01-26,2024-02-25,RETURNED
424,1722,1883,2024-08-26,,OUT
425,4386,155,2024-12-12,2024-12-31,RETURNED
426,3130,293,2024-06-06,2024-06-22,RETURNED
427,3503,836,2024-12-15,,OUT
428,4833,16,2024-06-22,2024-07-20,RETURNED
429,1642,548,2024-10-31,2024-11-12,RETURNED
430,3595,516,2024-05-28,,OUT
431,450,221,2024-11-19,2024-12-08,RETURNED
432,4572,515,2024-06-23,2024-07-02,RETURNED
433,2739,1908,2024-07-31,,OUT
434,1435,1703,2024-02-05,2024-02-09,RETURNED
435,2253,1417,2024-12-11,2024-12-12,RETURNED
436,850,1698,2024-09-22,2024-10-01,RETURNED
437,1556,1469,2024-06-25,2024-06-28,RETURNED
438,3329,156,2024-09-12,,OUT
439,1185,1230,2024-08-29,2024-09-14,RETURNED
440,1143,113,2024-03-09,2024-03-21,RETURNED
441,2787,1397,2024-05-27,2024-06-20,RETURNED
442,3847,353,2024-08-08,,OUT
443,1168,551,2024-06-06,2024-07-06,RETURNED
444,2092,205,2024-08-19,2024-09-04,RETURNED
445,1315,443,2024-01-26,2024-02-08,RETURNED
446,549,1398,2024-03-12,2024-03-26,RETURNED
447,4810,579,2024-05-20,2024-06-01,RETURNED
448,2966,190,2024-08-26,2024-09-11,RETURNED
449,1100,511,2024-05-25,,OUT
450,4153,302,2024-04-13,2024-04-18,RETURNED
451,2733,838,2024-06-23,2024-07-07,RETURNED
452,3119,1682,2024-04-11,2024-04-25,RETURNED
453,4098,1615,2024-03-19,2024-03-28,RETURNED
454,1257,1312,2024-06-10,2024-06-19,RETURNED
455,1627,984,2024-05-05,2024-05-24,RETURNED
456,960,1953,2024-09-29,,OUT
457,4151,3,2024-09-13,2024-10-02,RETURNED
458,4833,1792,2024-05-20,2024-06-10,RETURNED
459,3140,1286,2024-03-23,2024-04-10,RETURNED
460,1072,537,2024-10-08,2024-10-15,RETURNED
461,2620,1367,2024-10-28,,OUT
462,918,1713,2024-07-28,2024-08-16,RETURNED
463,1861,460,2024-09-09,2024-09-30,RETURNED
464,1541,832,2024-02-12,,OUT
465,1407,1687,2024-07-19,2024-08-12,RETURNED
466,3039,447,2024-08-28,2024-09-14,RETURNED
467,4424,1789,2024-12-16,,OUT
468,446,1251,2024-12-16,,OUT
469,2177,1285,2024-02-29,2024-03-28,RETURNED
470,1335,1193,2024-06-14,2024-06-29,RETURNED
471,169,498,2024-05-11,2024-06-07,RETURNED
472,4958,1246,2024-12-30,,OUT
473,717,1203,2024-04-04,2024-04-14,RETURNED
474,4932,1939,2024-03-25,2024-04-13,RETURNED
475,4132,330,2024-02-15,2024-03-11,RETURNED
476,2340,1269,2024-05-15,2024-06-05,RETURNED
477,4164,1981,2024-07-21,2024-08-18,RETURNED
478,4693,257,2024-02-19,,OUT
479,899,1174,2024-07-19,,OUT
480,3820,384,2024-01-16,,OUT
481,111,282,2024-11-02,,OUT
482,4411,281,2024-03-09,2024-03-29,RETURNED
483,120,1189,2024-06-04,,OUT
484,2820,45,2024-09-06,2024-10-04,RETURNED
485,2201,827,2024-02-06,2024-03-07,RETURNED
486,1028,517,2024-09-09,,OUT
487,665,160,2024-07-24,2024-08-19,RETURNED
488,3504,1461,2024-06-05,,OUT
489,3242,1023,2024-08-09,,OUT
490,2517,831,2024-12-21,,OUT
491,803,931,2024-08-24,2024-09-17,RETURNED
492,4680,776,2024-10-25,,OUT
493,662,231,2024-01-16,2024-02-10,RETURNED
494,4881,1417,2024-10-05,,OUT
495,4988,1752,2024-08-20,2024-08-27,RETURNED
496,4649,691,2024-03-19,2024-04-12,RETURNED
497,3357,985,2024-06-02,,OUT
498,375,1463,2024-05-18,2024-05-19,RETURNED
499,2143,932,2024-05-09,2024-05-14,RETURNED
500,2169,390,2024-09-25,,OUT
501,3623,1624,2024-05-02,2024-05-28,RETURNED
502,115,1892,2024-09-07,,OUT
503,1717,856,2024-12-21,,OUT
504,4754,235,2024-11-17,2024-12-17,RETURNED
505,463,1972,2024-08-09,,OUT
506,1673,681,2024-06-26,,OUT
507,3574,1782,2024-10-23,2024-11-01,RETURNED
508,3837,1915,2024-02-27,,OUT
509,4943,1448,2024-12-03,2024-12-30,RETURNED
510,2940,1245,2024-06-20,,OUT
511,420,930,2024-03-25,,OUT
512,2088,1341,2024-12-30,2024-12-31,RETURNED
513,63,342,2024-09-09,2024-09-29,RETURNED
514,1505,1409,2024-12-04,2024-12-08,RETURNED
515,2523,934,2024-07-13,,OUT
516,4243,1273,2024-12-04,2024-12-23,RETURNED
517,1536,1409,2024-05-23,,OUT
518,128,406,2024-02-20,2024-02-22,RETURNED
519,4197,591,2024-08-06,2024-08-21,RETURNED
520,2855,1172,2024-04-01,2024-04-30,RETURNED
521,2575,1166,2024-10-27,,OUT
522,3670,1312,2024-09-18,2024-10-13,RETURNED
523,4277,1848,2024-06-12,2024-07-11,RETURNED
524,1126,1120,2024-03-01,2024-03-20,RETURNED
525,3226,786,2024-08-20,2024-08-25,RETURNED
526,3597,230,2024-09-21,2024-10-02,RETURNED
527,204,1363,2024-09-14,2024-09-24,RETURNED
528,3471,511,2024-06-26,2024-07-14,RETURNED
529,454,1122,2024-01-08,2024-01-24,RETURNED
530,4845,157,2024-08-10,,OUT
531,4843,1937,2024-04-02,2024-05-02,RETURNED
532,4478,338,2024-11-09,2024-11-12,RETURNED
533,4321,795,2024-03-28,,OUT
534,1712,1089,2024-01-12,2024-02-06,RETURNED
535,781,191,2024-12-31,2024-12-31,RETURNED
536,1597,1478,2024-09-27,2024-10-08,RETURNED
537,374,418,2024-01-19,2024-02-13,RETURNED
538,3105,829,2024-11-29,,OUT
539,2799,1638,2024-09-11,,OUT
540,4541,1907,2024-05-12,2024-05-17,RETURNED
541,1648,1077,2024-11-22,2024-12-02,RETURNED
542,189,29,2024-07-25,2024-08-08,RETURNED
543,1983,1982,2024-12-30,,OUT
544,3007,1113,2024-02-26,2024-02-27,RETURNED
545,1053,1935,2024-03-17,,OUT
546,3906,1456,2024-09-09,2024-09-28,RETURNED
547,2164,724,2024-01-30,2024-02-25,RETURNED
548,2095,1845,2024-12-20,2024-12-31,RETURNED
549,2895,342,2024-12-27,,OUT
550,2074,1291,2024-10-20,2024-11-11,RETURNED
551,3180,1977,2024-08-24,2024-09-14,RETURNED
552,2548,328,2024-03-13,,OUT
553,4139,706,2024-10-16,2024-11-11,RETURNED
554,4028,962,2024-06-27,2024-07-24,RETURNED
555,981,476,2024-01-04,2024-01-26,RETURNED
556,1976,1382,2024-09-05,2024-09-10,RETURNED
557,4631,968,2024-03-26,2024-03-29,RETURNED
558,2449,128,2024-04-03,2024-04-17,RETURNED
559,4156,65,2024-10-03,,OUT
560,3264,1536,2024-05-06,2024-05-17,RETURNED
561,2703,1587,2024-01-09,2024-01-30,RETURNED
562,3516,1905,2024-08-05,2024-09-02,RETURNED
563,2596,581,2024-01-24,2024-02-09,RETURNED
564,4822,237,2024-05-03,2024-05-30,RETURNED
565,3781,1947,2024-01-14,,OUT
566,903,247,2024-04-28,2024-05-26,RETURNED
